date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:02	189954/189954	---M-Z	200	added ('OK')	text/html	etag:%222e602-53cebc55027a3-gzip%22	https://devitems.com/html/espone-preview/espone/index.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/index.html	(from )
13:15:02	137/137	---M-Z	200	added ('OK')	text/plain	etag:%22ea-5388aa0f714ff-gzip%22	https://devitems.com/robots.txt		(from )
13:15:04	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-53bea49d1ca88-gzip%22	https://devitems.com/html/espone-preview/espone/img/favicon.ico	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/img/favicon.ico	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:06	48376/48376	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2006:15:02%20GMT	https://devitems.com/html/espone-preview/espone/favicon.ico	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/favicon.2.delayed	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:08	48403/48403	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2006:15:05%20GMT	https://devitems.com/html/espone-preview/espone/apple-touch-icon.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/apple-touch-icon.3.delayed	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:10	110143/110143	---M-Z	200	added ('OK')	text/css	etag:%221ae3f-53bea48e6e9a0-gzip%22	https://devitems.com/html/espone-preview/espone/css/bootstrap.min.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/css/bootstrap.min.css	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:10	70824/70824	---M-Z	200	added ('OK')	text/css	etag:%22114a8-53bea48e6c290-gzip%22	https://devitems.com/html/espone-preview/espone/css/animate.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/css/animate.css	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:12	4376/4376	---M-Z	200	added ('OK')	text/css	etag:%221118-53bea50609fc8-gzip%22	https://devitems.com/html/espone-preview/espone/slider/css/nivo-slider.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/slider/css/nivo-slider.css	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:12	6121/6121	---M-Z	200	added ('OK')	text/css	etag:%2217e9-53bea50604208-gzip%22	https://devitems.com/html/espone-preview/espone/slider/css/preview.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/slider/css/preview.css	(from https://devitems.com/html/espone-preview/espone/index.html)
13:15:14	16819/16819	---M-Z	200	added ('OK')	text/css	etag:%2241b3-53bea490f2e38-gzip%22	https://devitems.com/html/espone-preview/espone/css/jquery-ui.min.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/ligman/chuongnh/devitems.com/html/espone-preview/espone/css/jquery-ui.min.css	(from https://devitems.com/html/espone-preview/espone/index.html)
