date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:14	668/668	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Sep%202016%2004:52:04%20GMT	http://demo.danurstrap.com/robots.txt		(from )
11:42:14	30951/30951	---M-Z	200	added ('OK')	text/html	etag:%2278e7-5381cd06c5dd8-gzip%22	http://demo.danurstrap.com/kallem/	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/index.html	(from )
11:42:15	1287/1287	---M--	200	added ('OK')	image/png	etag:%22507-5381cd25e3ee0%22	http://demo.danurstrap.com/kallem/ico/favicon.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/ico/favicon.png	(from http://demo.danurstrap.com/kallem/)
11:42:16	9420/9420	---M--	200	added ('OK')	text/css	etag:%2224cc-5381cd1f989a0%22	http://demo.danurstrap.com/kallem/css/overwrite.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/overwrite.css	(from http://demo.danurstrap.com/kallem/)
11:42:17	117305/117305	---M--	200	added ('OK')	text/css	etag:%221ca39-5381cd1c75610%22	http://demo.danurstrap.com/kallem/css/bootstrap.min.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/bootstrap.min.css	(from http://demo.danurstrap.com/kallem/)
11:42:18	1982/1982	---M--	200	added ('OK')	text/css	etag:%227be-5381cd9381f10%22	http://demo.danurstrap.com/kallem/fonts/raleway/stylesheet.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/fonts/raleway/stylesheet.css	(from http://demo.danurstrap.com/kallem/)
11:42:19	33179/33179	---M--	200	added ('OK')	text/css	etag:%22819b-5381cd5003dd8%22	http://demo.danurstrap.com/kallem/fonts/FontAwesome/font-awesome.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/fonts/FontAwesome/font-awesome.css	(from http://demo.danurstrap.com/kallem/)
11:42:20	1476/1476	---M--	200	added ('OK')	text/css	etag:%225c4-5381cd47b0848%22	http://demo.danurstrap.com/kallem/css/owl/owl.carousel.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/owl/owl.carousel.css	(from http://demo.danurstrap.com/kallem/)
11:42:20	1665/1665	---M--	200	added ('OK')	text/css	etag:%22681-5381cd47f7518%22	http://demo.danurstrap.com/kallem/css/owl/owl.theme.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/owl/owl.theme.css	(from http://demo.danurstrap.com/kallem/)
11:42:21	4476/4476	---M--	200	added ('OK')	text/css	etag:%22117c-5381cd494d1d8%22	http://demo.danurstrap.com/kallem/css/owl/owl.transitions.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/owl/owl.transitions.css	(from http://demo.danurstrap.com/kallem/)
11:42:22	69727/69727	---M--	200	added ('OK')	text/css	etag:%221105f-5381cd1bb9e10%22	http://demo.danurstrap.com/kallem/css/animate.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/animate.css	(from http://demo.danurstrap.com/kallem/)
11:42:23	3233/3233	---M--	200	added ('OK')	text/css	etag:%22ca1-5381cd1e2cd50%22	http://demo.danurstrap.com/kallem/css/masonry.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/masonry.css	(from http://demo.danurstrap.com/kallem/)
11:42:24	1838/1838	---M--	200	added ('OK')	text/css	etag:%2272e-5381cd1d84dd0%22	http://demo.danurstrap.com/kallem/css/jssor-slider.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/jssor-slider.css	(from http://demo.danurstrap.com/kallem/)
11:42:24	3134/3134	---M--	200	added ('OK')	text/css	etag:%22c3e-5381cd1fbfaa0%22	http://demo.danurstrap.com/kallem/css/simplelightbox.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/simplelightbox.css	(from http://demo.danurstrap.com/kallem/)
11:42:25	59141/59141	---M--	200	added ('OK')	text/css	etag:%22e705-5381cd22d6ec8%22	http://demo.danurstrap.com/kallem/css/style.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/css/style.css	(from http://demo.danurstrap.com/kallem/)
11:42:26	6077/6077	---M--	200	added ('OK')	text/css	etag:%2217bd-5381cd3f0f0b8%22	http://demo.danurstrap.com/kallem/skins/default.css	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/skins/default.css	(from http://demo.danurstrap.com/kallem/)
11:42:27	2130/2130	---M--	200	added ('OK')	application/javascript	etag:%22852-5381cd3186b08%22	http://demo.danurstrap.com/kallem/js/ie-emulation-modes-warning.js	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/js/ie-emulation-modes-warning.js	(from http://demo.danurstrap.com/kallem/)
11:42:28	3514/3514	---M--	200	added ('OK')	image/png	etag:%22dba-5381cdb3bde50%22	http://demo.danurstrap.com/kallem/images/brand/logo.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/images/brand/logo.png	(from http://demo.danurstrap.com/kallem/)
11:42:28	30951/30951	---M-Z	200	added ('OK')	text/html	etag:%2278e7-5381cd06c5dd8-gzip%22	http://demo.danurstrap.com/kallem/index.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/index-2.html	(from http://demo.danurstrap.com/kallem/)
11:42:29	26599/26599	---M-Z	200	added ('OK')	text/html	etag:%2267e7-5381cd07e5b50-gzip%22	http://demo.danurstrap.com/kallem/index2.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/index2.html	(from http://demo.danurstrap.com/kallem/)
11:42:30	26351/26351	---M-Z	200	added ('OK')	text/html	etag:%2266ef-5381cd0965020-gzip%22	http://demo.danurstrap.com/kallem/portfolio-3col.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/portfolio-3col.html	(from http://demo.danurstrap.com/kallem/)
11:42:30	30951/30951	---M-Z	200	added ('OK')	text/html	etag:%2278e7-5381cd0abb0c8-gzip%22	http://demo.danurstrap.com/kallem/portfolio-4col.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/portfolio-4col.html	(from http://demo.danurstrap.com/kallem/)
11:42:31	28786/28786	---M-Z	200	added ('OK')	text/html	etag:%227072-5381cd0d6df78-gzip%22	http://demo.danurstrap.com/kallem/portfolio-space.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/portfolio-space.html	(from http://demo.danurstrap.com/kallem/)
11:42:32	24809/24809	---M-Z	200	added ('OK')	text/html	etag:%2260e9-5381cd0c1a9c8-gzip%22	http://demo.danurstrap.com/kallem/portfolio-line.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/portfolio-line.html	(from http://demo.danurstrap.com/kallem/)
11:42:32	19281/19281	---M-Z	200	added ('OK')	text/html	etag:%224b51-5381ce08b4a07-gzip%22	http://demo.danurstrap.com/kallem/load/project/project01.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/load/project/project01.html	(from http://demo.danurstrap.com/kallem/)
11:42:33	27958/27958	---M-Z	200	added ('OK')	text/html	etag:%226d36-5381cd0334c78-gzip%22	http://demo.danurstrap.com/kallem/blog-masonry.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/blog-masonry.html	(from http://demo.danurstrap.com/kallem/)
11:42:33	28658/28658	---M-Z	200	added ('OK')	text/html	etag:%226ff2-5381cd0424098-gzip%22	http://demo.danurstrap.com/kallem/blog-sidebar.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/blog-sidebar.html	(from http://demo.danurstrap.com/kallem/)
11:42:34	32896/32896	---M-Z	200	added ('OK')	text/html	etag:%228080-5381cd106a208-gzip%22	http://demo.danurstrap.com/kallem/singlepost.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/singlepost.html	(from http://demo.danurstrap.com/kallem/)
11:42:35	25916/25916	---M-Z	200	added ('OK')	text/html	etag:%22653c-5381cd01ab780-gzip%22	http://demo.danurstrap.com/kallem/about.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/about.html	(from http://demo.danurstrap.com/kallem/)
11:42:35	14720/14720	---M-Z	200	added ('OK')	text/html	etag:%223980-5381ccfd61148-gzip%22	http://demo.danurstrap.com/kallem/404.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/404.html	(from http://demo.danurstrap.com/kallem/)
11:42:36	23762/23762	---M-Z	200	added ('OK')	text/html	etag:%225cd2-5381cd11dcfa0-gzip%22	http://demo.danurstrap.com/kallem/typhography.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/typhography.html	(from http://demo.danurstrap.com/kallem/)
11:42:36	56751/56751	---M-Z	200	added ('OK')	text/html	etag:%22ddaf-5381cd0f60038-gzip%22	http://demo.danurstrap.com/kallem/shortcodes.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/shortcodes.html	(from http://demo.danurstrap.com/kallem/)
11:42:37	30064/30064	---M-Z	200	added ('OK')	text/html	etag:%227570-5381cd131a5c0-gzip%22	http://demo.danurstrap.com/kallem/widget.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/widget.html	(from http://demo.danurstrap.com/kallem/)
11:42:38	15960/15960	---M-Z	200	added ('OK')	text/html	etag:%223e58-5381cd0543e10-gzip%22	http://demo.danurstrap.com/kallem/contact-us.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/New%20folder/chuongnh/demo.danurstrap.com/kallem/contact-us.html	(from http://demo.danurstrap.com/kallem/)
